individual,species,population,year,predator,bodylength,abdomenlength,seg10width,seg9width,seg8width,seg7width,seg6width,seg5width,seg4width,seg3width,seg2width,seg10length,seg9length,seg8length,seg7length,seg6length,seg5length,seg4length,seg3length,seg2length,ventralarea
12,dubia,storarammossjoen,2012,invertebrate,18.672,10.605,1.599,3.142,5.141,6.529,7.147,7.091,6.525,5.475,4.545,0.212,1.036,1.146,1.291,1.381,1.345,1.036,0.908,0.854,66.341
13,dubia,storarammossjoen,2012,invertebrate,16.342,9.465,NA,3.044,4.868,6.626,7.255,7.153,6.612,5.594,4.477,NA,0.848,1.057,1.307,1.446,1.383,1.207,0.830,0.805,56.802
14,dubia,storarammossjoen,2012,invertebrate,16.116,9.242,1.375,2.874,4.589,6.107,6.717,6.676,6.187,5.268,4.332,0.152,0.922,1.142,1.179,1.292,1.292,1.049,0.877,0.722,51.518
15,dubia,storarammossjoen,2012,invertebrate,16.572,9.370,1.478,2.808,4.580,5.964,6.536,6.551,6.146,5.267,4.273,0.160,0.808,1.105,1.318,1.438,1.398,1.172,0.905,0.707,51.172
16,dubia,storarammossjoen,2012,invertebrate,17.758,10.202,1.534,2.879,4.553,6.031,6.592,6.518,5.988,5.099,4.232,0.255,0.984,1.104,1.272,1.429,1.388,1.142,1.023,0.863,54.998
17,dubia,storarammossjoen,2012,invertebrate,18.381,10.928,1.550,2.973,4.770,6.353,6.960,6.977,6.450,5.418,4.450,0.193,0.863,1.308,1.482,1.534,1.447,1.228,1.140,0.929,62.521
18,albifrons,barschsee,2013,invertebrate,20.099,11.229,1.556,3.186,5.381,6.917,7.285,7.285,6.821,5.971,4.729,0.215,1.127,1.457,1.613,1.671,1.516,1.205,0.952,0.835,70.316
19,albifrons,barschsee,2013,invertebrate,22.080,13.209,1.624,3.246,5.464,6.967,7.363,7.166,6.593,5.720,4.771,0.317,1.292,1.646,1.709,1.601,1.512,1.383,1.200,0.832,81.967
20,albifrons,barschsee,2013,invertebrate,19.066,11.198,1.512,3.124,5.561,7.249,7.566,7.428,6.921,5.587,4.621,0.236,1.356,1.610,1.612,1.649,1.434,1.200,0.786,0.668,70.305
21,albifrons,barschsee,2013,invertebrate,20.089,11.306,1.667,3.182,5.303,6.818,7.139,6.931,6.344,5.551,4.549,0.189,1.098,1.250,1.459,1.498,1.440,1.269,1.155,0.947,66.878
22,albifrons,barschsee,2013,invertebrate,20.437,12.312,1.581,3.320,5.393,6.816,7.209,6.993,6.505,5.472,4.532,0.255,1.152,1.425,1.640,1.679,1.581,1.367,1.230,0.849,73.575
23,albifrons,barschsee,2013,invertebrate,20.303,12.224,1.396,3.103,4.960,6.315,6.780,6.742,6.257,5.443,4.476,0.427,1.419,1.570,1.608,1.531,1.433,1.375,1.008,0.853,67.832
24,albifrons,barschsee,2013,invertebrate,18.638,10.345,1.461,3.020,4.983,6.465,6.851,6.796,6.196,5.310,4.489,0.231,1.173,1.327,1.462,1.462,1.423,1.173,0.789,0.601,59.880
25,albifrons,barschsee,2013,invertebrate,20.507,12.427,1.481,3.079,5.136,6.502,6.963,6.963,6.426,5.693,4.716,0.369,1.250,1.673,1.692,1.615,1.481,1.369,1.040,0.808,71.668
26,albifrons,barschsee,2013,invertebrate,20.074,12.220,1.457,3.090,5.303,6.780,7.207,7.090,6.605,5.830,4.822,0.350,1.360,1.691,1.651,1.671,1.555,1.245,0.933,0.836,72.550
27,albifrons,barschsee,2013,invertebrate,18.493,10.097,1.412,3.030,4.923,6.346,6.818,6.838,6.183,5.213,4.384,0.211,1.058,1.268,1.445,1.429,1.332,1.119,0.925,0.694,57.496
28,albifrons,barschsee,2013,invertebrate,17.184,10.165,1.594,3.123,5.160,6.551,6.932,6.813,6.262,5.190,4.787,0.311,1.284,1.497,1.569,1.439,1.311,1.093,0.836,0.695,56.951
29,albifrons,barschsee,2013,invertebrate,19.459,11.645,1.609,3.144,5.109,6.583,6.937,6.982,6.429,5.524,4.505,0.473,1.452,1.574,1.539,1.613,1.393,1.256,1.001,0.766,67.035
30,dubia,barschsee,2013,invertebrate,16.260,8.830,1.366,2.813,4.455,5.965,6.534,6.512,6.022,5.117,4.038,0.151,0.925,1.076,1.245,1.208,1.189,0.943,0.736,0.606,48.046
31,dubia,barschsee,2013,invertebrate,17.947,10.888,1.439,2.899,4.664,6.083,6.541,6.472,5.961,5.241,4.320,0.317,1.250,1.382,1.325,1.401,1.344,1.174,0.927,0.757,58.068
32,dubia,barschsee,2013,invertebrate,18.275,11.125,1.600,2.950,4.686,6.247,6.885,6.885,6.382,5.438,4.460,0.239,1.312,1.339,1.408,1.407,1.311,1.214,0.983,0.810,62.967
33,dubia,barschsee,2013,invertebrate,17.632,10.631,1.494,2.852,4.584,5.939,6.521,6.424,5.996,5.219,4.327,0.300,1.319,1.397,1.436,1.397,1.242,1.106,0.834,0.757,56.475
34,dubia,barschsee,2013,invertebrate,18.813,10.647,1.383,2.965,4.785,6.151,6.625,6.564,6.128,5.139,4.289,0.317,1.048,1.325,1.363,1.462,1.345,1.088,1.009,0.949,58.493
35,dubia,barschsee,2013,invertebrate,18.189,11.121,1.274,2.756,4.446,5.909,6.404,6.365,5.795,5.054,4.142,0.304,1.216,1.387,1.406,1.445,1.349,1.254,1.028,0.856,58.226
36,dubia,barschsee,2013,invertebrate,18.518,11.357,1.480,2.809,4.576,5.947,6.484,6.522,5.965,5.096,4.174,0.272,1.250,1.384,1.441,1.384,1.327,1.211,1.115,0.865,59.951
37,dubia,barschsee,2013,invertebrate,18.875,10.994,1.496,2.892,4.746,6.281,6.699,6.580,6.042,5.026,4.010,0.159,1.236,1.276,1.436,1.455,1.436,1.218,1.099,0.898,59.915
38,dubia,barschsee,2013,invertebrate,19.290,11.384,1.453,2.965,4.717,6.052,6.470,6.311,5.795,4.996,4.279,0.279,1.215,1.393,1.552,1.572,1.473,1.305,1.215,0.936,62.524
39,dubia,barschsee,2013,invertebrate,18.561,11.516,1.543,2.970,4.868,6.253,6.669,6.609,6.055,5.086,4.314,0.356,1.248,1.465,1.544,1.447,1.346,1.267,1.208,0.930,63.152
40,dubia,barschsee,2013,invertebrate,17.292,10.224,1.369,2.698,4.453,5.919,6.479,6.496,6.014,5.088,4.242,0.347,1.291,1.330,1.330,1.330,1.195,1.121,0.888,0.791,54.426
41,dubia,barschsee,2013,invertebrate,16.853,10.070,1.383,2.653,4.491,5.779,6.329,6.330,5.742,4.967,4.057,0.360,1.232,1.327,1.402,1.194,1.290,1.099,0.853,0.664,52.050
42,albifrons,barschsee,2012,invertebrate,18.161,10.234,1.452,3.138,5.221,6.871,7.319,7.052,6.486,5.485,4.584,0.167,1.186,1.233,1.367,1.417,1.350,1.200,1.050,0.767,61.691
43,albifrons,barschsee,2012,invertebrate,18.793,10.822,1.585,3.236,5.597,7.437,7.981,7.876,7.147,6.076,4.842,0.127,1.282,1.312,1.382,1.478,1.382,1.272,1.000,0.799,71.213
44,albifrons,barschsee,2012,invertebrate,17.426,10.050,1.391,3.059,5.226,6.735,7.276,7.165,6.468,5.533,4.497,0.146,1.118,1.248,1.355,1.392,1.336,1.172,0.898,0.787,61.623
45,albifrons,barschsee,2012,invertebrate,17.143,10.109,1.540,3.079,5.119,6.679,7.159,6.979,6.339,5.519,4.479,0.180,1.200,1.240,1.380,1.440,1.380,1.160,0.820,0.600,59.806
46,albifrons,barschsee,2012,invertebrate,18.998,11.130,1.509,3.176,5.471,7.197,7.664,7.548,6.919,5.902,4.761,0.157,1.235,1.332,1.548,1.509,1.471,1.274,1.058,0.842,71.774
47,albifrons,barschsee,2012,invertebrate,17.504,10.081,1.540,3.005,5.201,6.704,7.223,7.041,6.380,5.451,4.522,0.125,1.073,1.304,1.513,1.502,1.321,1.125,0.840,0.733,60.284
48,albifrons,barschsee,2012,invertebrate,18.085,9.599,NA,3.100,5.016,6.661,7.128,7.064,6.483,5.516,4.339,NA,1.298,1.332,1.365,1.432,1.282,1.049,0.849,0.666,57.048
49,albifrons,barschsee,2012,invertebrate,17.477,9.877,1.364,3.036,5.220,6.857,7.441,7.352,6.625,5.646,4.590,0.127,1.133,1.227,1.378,1.456,1.474,1.248,0.873,0.756,61.200
50,albifrons,barschsee,2012,invertebrate,18.005,10.626,1.429,3.143,5.197,6.750,7.179,6.982,6.358,5.520,4.591,0.125,1.126,1.232,1.411,1.446,1.429,1.214,1.036,0.679,62.529
51,albifrons,barschsee,2012,invertebrate,18.527,10.609,1.432,3.142,5.285,6.979,7.428,7.326,6.633,5.672,4.591,0.204,1.225,1.388,1.429,1.449,1.326,1.122,0.816,0.673,65.383
52,albifrons,barschsee,2012,invertebrate,18.567,10.857,1.579,3.268,5.374,6.953,7.371,7.244,6.681,5.773,4.740,0.236,1.180,1.344,1.489,1.507,1.380,1.198,0.962,0.690,66.314
53,albifrons,barschsee,2012,invertebrate,16.760,9.798,1.384,3.016,4.999,6.500,6.983,6.784,6.150,5.203,4.271,0.133,1.210,1.317,1.386,1.386,1.369,1.175,0.914,0.755,63.916
54,albifrons,barschsee,2012,invertebrate,18.788,10.949,1.647,3.391,5.394,7.023,7.501,7.369,6.686,5.798,4.687,0.222,1.279,1.263,1.448,1.502,1.445,1.204,1.000,0.779,68.298
55,albifrons,barschsee,2012,invertebrate,18.912,11.241,1.709,3.255,5.618,7.255,7.728,7.546,6.818,5.873,4.727,0.291,1.436,1.418,1.546,1.545,1.418,1.146,0.982,0.709,71.241
56,dubia,barschsee,2012,invertebrate,17.064,10.176,1.409,2.946,5.060,6.787,7.341,7.232,6.601,5.597,4.578,0.167,1.019,1.185,1.259,1.408,1.370,1.093,0.963,0.834,61.520
57,dubia,barschsee,2012,invertebrate,17.322,9.774,1.485,3.000,4.774,6.464,7.087,7.090,6.501,5.500,4.468,0.172,1.071,1.155,1.258,1.275,1.243,1.052,0.948,0.793,57.444
58,dubia,barschsee,2012,invertebrate,16.749,9.529,1.404,2.820,4.476,6.003,6.566,6.564,6.108,5.272,4.327,0.236,1.019,1.128,1.291,1.237,1.236,0.873,0.836,0.764,52.048
59,dubia,barschsee,2012,invertebrate,16.786,9.909,1.482,2.946,4.785,6.357,6.911,6.858,6.358,5.411,4.430,0.232,1.107,1.143,1.321,1.393,1.268,1.018,0.911,0.750,56.044
60,dubia,barschsee,2012,invertebrate,16.921,10.026,1.417,2.887,4.740,6.374,6.972,6.936,6.393,5.446,4.466,0.236,1.017,1.126,1.235,1.380,1.289,1.035,0.908,0.835,57.569
61,dubia,barschsee,2012,invertebrate,16.481,9.451,1.254,2.856,4.580,6.126,6.779,6.689,6.217,5.254,4.290,0.164,0.908,1.036,1.163,1.272,1.236,1.036,0.945,0.800,52.332
62,dubia,barschsee,2012,invertebrate,16.558,9.381,1.418,2.767,4.467,5.833,6.367,6.283,5.884,5.000,4.167,0.217,1.018,1.050,1.217,1.250,1.184,1.050,0.917,0.817,48.891
63,dubia,barschsee,2012,invertebrate,17.461,10.247,1.472,2.963,4.854,6.526,7.199,7.181,6.581,5.563,4.508,0.218,1.038,1.145,1.309,1.364,1.309,1.146,0.909,0.836,60.171
64,dubia,barschsee,2012,invertebrate,17.176,9.965,1.382,2.916,4.682,6.142,6.854,6.884,6.305,5.296,4.349,0.145,1.000,1.092,1.237,1.404,1.292,1.200,0.964,0.837,56.681
65,dubia,barschsee,2012,invertebrate,17.459,10.395,1.399,3.016,4.738,6.405,7.107,7.058,6.403,5.404,4.454,0.196,1.164,1.131,1.278,1.408,1.326,1.163,1.032,0.901,59.708
66,dubia,barschsee,2012,invertebrate,15.715,8.883,1.452,2.863,4.472,5.961,6.392,6.314,5.727,5.020,4.177,0.137,0.981,1.020,1.176,1.255,1.196,0.980,0.843,0.745,47.372
67,albifrons,blaecktaernsjoen,2013,invertebrate,19.103,10.418,1.560,3.041,5.100,6.525,6.967,6.912,6.505,5.580,4.619,0.329,1.213,1.232,1.462,1.578,1.385,1.214,0.908,0.673,61.980
68,albifrons,blaecktaernsjoen,2013,invertebrate,20.696,11.518,1.512,3.341,5.416,6.818,7.243,7.221,6.794,5.999,4.849,0.388,1.188,1.414,1.666,1.627,1.434,1.317,1.007,0.854,71.784
69,albifrons,blaecktaernsjoen,2013,invertebrate,22.031,12.503,1.653,3.383,5.429,6.970,7.396,7.162,6.543,5.628,4.853,0.253,1.226,1.400,1.653,1.615,1.614,1.478,1.186,0.916,76.022
70,albifrons,blaecktaernsjoen,2013,invertebrate,18.691,10.425,1.512,3.096,5.079,6.521,6.981,6.847,6.385,5.481,4.462,0.269,1.251,1.250,1.443,1.424,1.308,1.173,0.885,0.635,60.656
71,albifrons,blaecktaernsjoen,2013,invertebrate,19.870,11.879,1.605,3.100,5.084,6.499,6.860,6.937,6.407,5.499,4.780,0.491,1.550,1.607,1.605,1.607,1.399,1.117,0.965,0.755,68.016
72,albifrons,blaecktaernsjoen,2013,invertebrate,19.739,11.462,1.529,3.238,5.344,6.951,7.481,7.359,6.659,5.724,4.686,0.372,1.475,1.473,1.509,1.549,1.491,1.136,1.041,0.705,70.097
73,albifrons,blaecktaernsjoen,2013,invertebrate,20.150,11.845,1.574,3.270,5.450,6.851,7.175,6.953,6.359,5.537,4.605,0.322,1.541,1.518,1.593,1.688,1.592,1.254,0.949,0.739,70.745
74,albifrons,blaecktaernsjoen,2013,invertebrate,19.658,11.698,1.550,3.197,5.481,7.095,7.549,7.503,6.881,5.925,4.864,0.431,1.416,1.472,1.514,1.567,1.494,1.293,1.041,0.764,73.200
75,albifrons,blaecktaernsjoen,2013,invertebrate,19.417,11.443,1.584,3.233,5.306,6.810,7.221,7.102,6.544,5.571,4.515,0.449,1.484,1.523,1.564,1.542,1.467,1.249,0.880,0.820,67.895
76,albifrons,blaecktaernsjoen,2013,invertebrate,19.164,11.136,1.433,3.078,5.029,6.366,6.805,6.711,6.103,5.318,4.435,0.306,1.358,1.510,1.358,1.472,1.358,1.338,0.936,0.765,63.047
77,albifrons,blaecktaernsjoen,2013,invertebrate,18.561,10.931,1.507,3.167,5.233,6.778,7.319,7.183,6.565,5.600,4.486,0.251,1.371,1.468,1.487,1.487,1.410,1.159,0.889,0.676,66.289
78,albifrons,blaecktaernsjoen,2013,invertebrate,21.271,12.695,1.532,3.200,5.593,7.066,7.459,7.308,6.734,5.755,4.772,0.451,1.412,1.647,1.669,1.710,1.667,1.315,1.080,0.902,78.259
79,albifrons,blaecktaernsjoen,2013,invertebrate,20.174,11.830,1.623,3.148,5.299,6.767,7.136,7.099,6.529,5.630,4.539,0.391,1.468,1.642,1.623,1.583,1.448,1.212,0.880,0.646,69.884
80,albifrons,blaecktaernsjoen,2013,invertebrate,21.379,12.845,1.642,3.340,5.435,6.858,7.176,7.057,6.562,5.554,4.723,0.435,1.524,1.561,1.719,1.700,1.562,1.383,1.226,0.810,76.221
81,albifrons,blaecktaernsjoen,2013,invertebrate,20.490,12.178,1.526,3.247,5.379,6.906,7.296,7.161,6.633,5.749,4.911,0.430,1.408,1.467,1.525,1.623,1.489,1.235,0.998,0.704,72.661
82,albifrons,blaecktaernsjoen,2013,invertebrate,18.812,10.596,1.403,3.202,5.297,6.778,7.272,7.094,6.560,5.434,4.427,0.296,1.503,1.423,1.423,1.463,1.285,1.227,0.803,0.672,63.680
83,albifrons,blaecktaernsjoen,2013,invertebrate,18.088,9.826,1.398,3.056,4.932,6.434,6.811,6.693,6.137,5.362,4.477,0.291,1.376,1.395,1.473,1.492,1.359,1.115,0.972,0.776,64.583
84,albifrons,blaecktaernsjoen,2013,invertebrate,19.177,11.501,1.572,3.220,5.271,6.728,7.111,7.111,6.440,5.578,4.620,0.441,1.438,1.476,1.496,1.572,1.399,1.323,0.959,0.748,67.532
85,albifrons,blaecktaernsjoen,2013,invertebrate,18.247,10.823,1.565,3.073,5.001,6.490,7.005,6.950,6.414,5.574,4.486,0.420,1.393,1.489,1.510,1.470,1.318,1.069,0.783,0.706,62.677
86,albifrons,blaecktaernsjoen,2013,invertebrate,18.984,11.386,1.509,3.113,5.298,6.921,7.366,7.270,6.672,5.646,4.586,0.464,1.527,1.508,1.488,1.604,1.392,1.200,0.872,0.814,68.652
87,albifrons,blaecktaernsjoen,2013,invertebrate,19.232,10.696,1.622,3.204,5.418,7.081,7.536,7.418,6.868,5.921,4.459,0.277,1.324,1.403,1.482,1.542,1.344,1.305,0.751,0.673,67.115
88,albifrons,blaecktaernsjoen,2013,invertebrate,20.610,12.285,1.627,3.292,5.271,6.819,7.132,6.917,6.270,5.349,4.526,0.392,1.470,1.509,1.607,1.609,1.450,1.372,1.078,0.824,72.048
89,albifrons,blaecktaernsjoen,2013,invertebrate,19.134,11.482,1.632,3.188,5.165,6.605,6.970,6.912,6.394,5.568,4.513,0.442,1.440,1.538,1.536,1.555,1.382,1.192,0.980,0.634,66.728
90,albifrons,blaecktaernsjoen,2013,invertebrate,18.501,10.912,1.503,3.103,5.174,6.738,7.281,7.264,6.714,5.621,4.625,0.410,1.386,1.425,1.503,1.523,1.386,1.073,0.859,0.744,65.733
91,albifrons,blaecktaernsjoen,2013,invertebrate,18.567,11.072,1.471,3.196,5.392,7.039,7.530,7.373,6.807,5.730,4.863,0.451,1.433,1.433,1.510,1.569,1.412,1.177,0.843,0.765,69.326
92,albifrons,blaecktaernsjoen,2013,invertebrate,19.284,11.165,1.562,3.114,5.178,6.626,7.014,6.892,6.305,5.372,4.356,0.429,1.365,1.504,1.569,1.618,1.401,1.207,0.778,0.680,65.632
93,dubia,blaecktaernsjoen,2013,invertebrate,16.668,9.701,1.334,2.877,4.554,5.981,6.543,6.405,5.905,4.978,3.993,0.212,1.139,1.235,1.313,1.275,1.274,1.046,0.887,0.735,51.377
94,dubia,blankesmoor,2013,invertebrate,17.359,10.441,1.395,2.708,4.555,5.832,6.389,6.367,5.867,5.024,4.158,0.141,1.212,1.301,1.355,1.290,1.256,1.201,1.045,0.832,57.310
95,dubia,blankesmoor,2013,invertebrate,16.026,9.781,1.335,2.737,4.329,5.609,6.132,6.103,5.685,4.853,4.017,0.116,1.071,1.355,1.389,1.418,1.268,1.119,0.882,0.720,51.547
96,dubia,blankesmoor,2013,invertebrate,19.165,11.278,1.531,2.921,5.143,6.648,7.225,7.242,6.626,5.801,4.852,0.338,1.319,1.423,1.373,1.396,1.365,1.211,0.901,0.744,68.010
97,dubia,blankesmoor,2013,invertebrate,18.510,11.318,1.591,2.681,4.902,6.124,6.661,6.584,6.147,5.397,4.522,0.240,1.235,1.237,1.369,1.312,1.255,1.064,0.836,0.722,60.680
98,dubia,blankesmoor,2013,invertebrate,17.213,10.265,1.446,2.651,4.521,5.823,6.369,6.315,5.929,5.125,4.337,0.326,1.203,1.228,1.328,1.413,1.390,1.175,1.108,0.850,53.572
99,dubia,blankesmoor,2013,invertebrate,16.006,9.234,1.400,2.793,4.752,6.034,6.582,6.481,5.979,5.106,4.122,0.226,1.096,1.169,1.278,1.264,1.177,0.980,0.918,0.724,53.091
100,rubicunda,blankesmoor,2013,invertebrate,18.113,11.086,1.428,2.656,4.644,5.786,6.446,6.483,6.060,5.211,4.294,0.295,1.345,1.403,1.417,1.375,1.327,1.306,1.126,0.933,60.217
101,dubia,blankesmoor,2013,invertebrate,19.114,10.695,1.603,2.767,5.103,6.562,7.207,7.193,6.652,5.840,4.821,0.232,1.305,1.409,1.434,1.395,1.317,1.240,1.023,0.865,67.775
102,dubia,blankesmoor,2013,invertebrate,18.657,10.893,1.521,2.891,4.730,6.684,7.327,7.213,6.756,5.855,4.855,0.335,1.341,1.260,1.395,1.289,1.283,1.159,0.939,0.661,65.124
103,dubia,blankesmoor,2013,invertebrate,15.301,8.841,NA,2.731,4.551,5.660,6.179,6.072,5.668,4.811,3.964,0.181,1.107,1.193,1.197,1.252,1.087,1.020,0.765,0.581,46.814
104,dubia,blankesmoor,2013,invertebrate,15.445,9.280,1.307,2.845,4.643,5.889,6.331,6.319,5.774,4.798,3.978,0.195,1.115,1.173,1.258,1.309,1.210,1.034,0.937,0.743,45.568
105,dubia,blankesmoor,2013,invertebrate,15.876,9.657,1.403,2.707,4.377,5.660,6.144,6.045,5.592,4.779,3.912,0.231,1.256,1.267,1.293,1.267,1.140,0.960,0.925,0.797,51.591
106,dubia,blankesmoor,2013,invertebrate,15.932,8.901,1.477,2.640,4.380,5.668,6.145,6.095,5.575,4.698,3.745,0.233,0.937,1.082,1.100,1.207,1.161,1.019,0.865,0.742,47.786
107,dubia,blankesmoor,2013,invertebrate,15.109,8.771,1.333,2.912,4.881,6.316,6.874,6.828,6.293,5.357,4.319,0.168,1.128,1.244,1.301,1.198,1.146,0.872,0.771,0.609,51.005
108,rubicunda,blankesmoor,2013,invertebrate,18.019,10.327,1.591,2.821,5.064,6.376,7.017,6.989,6.480,5.631,4.726,0.291,1.331,1.347,1.379,1.419,1.219,1.129,0.980,0.929,60.104
109,dubia,blankesmoor,2013,invertebrate,17.452,9.978,1.496,2.665,4.684,5.905,6.543,6.648,6.218,5.487,4.545,0.145,1.233,1.173,1.233,1.189,1.329,1.216,0.990,0.755,59.312
110,dubia,blankesmoor,2013,invertebrate,16.732,9.151,1.172,2.664,4.436,5.767,6.261,6.130,5.712,4.907,4.035,0.155,1.043,1.233,1.400,1.432,1.311,1.190,1.027,0.783,52.015
111,dubia,blankesmoor,2013,invertebrate,15.090,8.620,1.302,2.637,4.202,5.492,5.951,5.877,5.392,4.666,3.816,0.207,0.957,1.072,1.175,1.250,1.072,0.865,0.877,0.659,41.818
112,rubicunda,blankesmoor,2013,invertebrate,17.523,10.267,1.398,2.850,4.787,6.095,6.605,6.532,6.207,5.454,4.669,0.275,1.289,1.325,1.429,1.369,1.245,1.184,0.987,0.859,56.511
113,dubia,blankesmoor,2013,invertebrate,15.669,8.817,1.419,2.622,4.465,5.789,6.256,6.181,5.746,5.030,4.159,0.168,1.155,1.096,1.084,1.309,1.165,1.003,0.698,0.685,44.371
114,dubia,blankesmoor,2013,invertebrate,15.198,9.236,1.409,2.710,4.521,5.741,6.157,5.993,5.530,4.734,3.948,0.195,1.047,1.084,1.166,1.203,1.272,1.054,0.887,0.663,50.844
115,dubia,blankesmoor,2013,invertebrate,16.123,9.498,1.363,2.669,4.685,5.713,6.214,6.179,5.710,4.869,3.975,0.206,1.045,1.195,1.306,1.325,1.139,1.120,0.821,0.709,51.126
116,dubia,blankesmoor,2012,invertebrate,16.888,9.631,NA,2.965,4.807,6.492,7.122,7.052,6.508,5.562,4.527,NA,0.947,1.123,1.193,1.281,1.299,1.158,0.877,0.754,56.909
117,dubia,blankesmoor,2012,invertebrate,15.838,8.925,1.350,2.758,4.376,5.681,6.177,6.043,5.599,4.950,4.217,0.192,1.051,1.143,1.208,1.232,1.170,0.964,0.707,0.628,45.952
118,dubia,blankesmoor,2012,invertebrate,17.125,10.300,1.471,2.935,4.655,6.377,6.995,7.012,6.397,5.457,4.515,0.254,1.089,1.159,1.376,1.359,1.377,1.141,1.015,0.779,59.368
119,dubia,blankesmoor,2012,invertebrate,15.620,8.908,NA,2.945,4.681,6.379,6.932,6.910,6.446,5.446,4.484,NA,0.911,1.019,1.214,1.303,1.267,0.929,0.803,0.714,52.121
120,dubia,blankesmoor,2012,invertebrate,17.410,10.364,1.538,3.059,4.925,6.654,7.211,7.192,6.654,5.731,4.731,0.136,1.097,1.173,1.384,1.365,1.385,1.096,1.038,0.827,62.580
121,dubia,blankesmoor,2012,invertebrate,15.109,8.330,1.334,2.759,4.469,6.040,6.645,6.599,6.091,5.279,4.313,0.135,NA,1.114,1.226,1.321,1.066,0.858,0.714,0.666,46.278
122,dubia,blankesmoor,2012,invertebrate,17.460,10.412,1.505,3.137,5.041,6.212,6.810,6.777,6.246,5.332,4.352,0.327,1.197,1.179,1.379,1.451,1.342,1.052,0.961,0.816,63.144
123,dubia,blankesmoor,2012,invertebrate,16.109,9.300,1.167,2.947,4.635,6.173,6.783,6.691,6.265,5.450,4.486,0.094,0.983,1.130,1.222,1.222,1.204,1.000,0.889,0.759,52.741
124,dubia,blankesmoor,2012,invertebrate,17.656,10.370,1.605,3.041,5.099,6.701,7.274,7.174,6.683,5.716,4.798,0.213,1.179,1.179,1.294,1.326,1.326,1.032,0.983,0.851,61.861
125,dubia,blankesmoor,2012,invertebrate,15.906,9.217,1.333,2.807,4.350,6.034,6.666,6.614,6.125,5.229,4.283,0.141,1.000,1.105,1.263,1.333,1.281,1.054,0.825,0.720,52.499
126,dubia,blankesmoor,2012,invertebrate,17.001,10.121,1.424,2.846,4.769,6.385,6.962,6.962,6.346,5.481,4.446,0.250,1.058,1.116,1.271,1.404,1.327,1.077,0.923,0.808,57.450
127,dubia,blankesmoor,2012,invertebrate,16.801,9.659,1.271,2.935,4.557,6.204,6.731,6.766,6.199,5.357,4.499,0.117,0.938,0.978,1.173,1.310,1.290,1.134,0.938,0.802,54.304
128,rubicunda,blankesmoor,2012,invertebrate,20.327,12.377,1.685,3.018,5.239,6.783,7.461,7.369,6.812,5.921,5.005,0.398,1.476,1.452,1.583,1.473,1.520,1.358,1.146,0.947,81.859
129,rubicunda,blankesmoor,2012,invertebrate,18.561,10.404,1.643,3.143,5.219,6.668,7.295,7.292,6.828,5.878,4.807,0.178,1.213,1.159,1.305,1.305,1.303,1.214,1.001,0.856,63.869
